begin_node_id,end_node_id,travel_time
42519812,248607283,7.46017
42766934,42765242,6.90107
42421783,42454313,2.64123
42867023,42807554,9.33465
2028361256,2028328023,11.4814
42422592,42428072,7.28454
42486083,465132522,8.57023
370880758,42421946,39.029
42422086,42443116,18.8013
42766931,42762533,15.9965
42427991,1733612459,87.1619
42421960,42445569,8.27995
593921859,42455761,15.5329
42421974,42443305,20.9784
42815805,42817412,29.7858
42767053,42755256,8.87061
42815834,42815829,12.9008
42815829,42815824,11.0015
103886354,440243635,28.3262
42815824,42815820,11.0387
42815820,42815816,10.171
42815816,42815813,10.1709
42815813,42815810,13.1877
42815810,42815807,6.14941
42815807,42815805,8.97112
42422592,42422399,45.1698
42422585,42422592,6.80192
42422592,42422366,11.5211
42422592,42421778,12.1105
42815770,42815764,9.70117
103879237,103869667,2.55613
42815764,42815755,9.25985
42471183,42487567,22.3749
42422038,42438155,29.6953
42815755,42815750,9.26569
42815750,42815748,9.73292
1533280148,2779131562,15.2013
42421865,42443165,39.4261
42429705,1544809885,31.6808
42520827,42520825,14.2653
42422018,42438052,13.1911
42864880,42864879,41.8306
42422026,42437401,5.5456
42421852,42442584,14.5117
42421996,42438043,20.6268
42520579,42527647,23.5931
541999391,42481645,9.48668
42422018,42437058,16.385
246894565,42429570,15.7228
42422000,42437052,9.97015
42469478,42537973,8.14657
42520409,42531870,23.7426
42422366,42425188,5.95562
42421806,42442475,10.0446
42421769,42443347,22.2988
42471048,42488527,28.2955
42866526,42811451,13.0321
42421820,42441569,14.8946
42471615,42470439,16.7598
541999541,42474811,35.2676
42471722,42467023,19.3154
42469879,42524122,30.8385
42422035,42434413,29.8806
42469876,42524119,31.4307
42421772,42442469,10.0284
42421993,42435312,29.6091
42421778,42441587,6.44351
42421852,42438928,54.765
42436567,592484776,39.465
42421969,42435250,14.4446
483605937,2408421325,6.00118
42421877,42437949,9.40575
42436793,1692433932,24.9119
593216034,371034141,24.6041
42421882,42436856,74.6696
42766989,42748414,13.9207
593921869,42443563,14.3014
42421820,42437312,13.8301
42422016,42431044,8.47743
42421993,42431447,17.2382
42421803,42437300,23.884
42471046,42483561,53.3013
42422053,42429362,28.6827
371230604,589928187,20.8978
42471092,42481652,12.3995
42469633,42526329,50.455
42421737,42437917,7.8454
42453604,1775270664,27.8436
593300772,42820840,49.406
42422042,42428374,24.2239
42767057,42742681,27.2587
42471265,42474786,25.1901
42421800,42435308,9.98237
42422056,42427249,36.5662
42421882,42432194,61.3337
42442559,1061531815,5.13047
593301234,42804992,10.4643
42470376,42501208,16.478
42442549,1061531730,15.1268
42421972,42428570,24.362
276069438,42920892,21.4458
42442534,1061531807,36.6209
42442542,1061531504,32.677
1934650109,1044184577,14.2963
277385120,277385119,1.53475
42421728,42435337,10.6692
42442514,1061531790,69.953
42521405,42490932,20.3069
42421960,42427953,63.5888
42421882,42430241,11.0034
42442492,1061531731,57.6301
482661024,276065908,186.454
42442475,1061531839,23.1613
42442480,1061531603,19.7424
42421828,42430938,26.0406
42442469,1061531645,67.7616
42421810,42431034,11.946
42421810,42431030,41.3356
42442463,1061531454,61.3184
42422086,42422168,6.61496
42442451,1061531634,117.464
42421741,42432756,10.7114
42421857,42428863,48.4132
42421731,42432737,29.8403
42421728,42432736,18.5267
42421776,42431024,18.6856
42421776,42431019,24.0546
42433881,595703383,2.33836
42442422,1061531608,23.0978
42422056,42422053,63.7753
42422053,42422056,15.8489
42470437,42494930,43.729
42422050,42422053,35.1386
593215564,371038821,12.0322
42470434,42494845,22.6652
42422042,42422050,29.8786
42421749,42431118,6.04374
42422038,42422042,26.9268
42422035,42422038,33.0997
293348991,301546019,41.7845
276209383,2433000860,42.8048
42422016,42422018,45.1239
42421783,42429174,4.23663
42520607,42511011,2.62823
42421996,42422000,122.065
42421993,42421996,86.1184
42421982,42421978,5.78797
42421978,42421982,2.5863
42453080,595105496,20.573
42421974,42421972,23.1194
42421972,42421969,28.8009
42421946,42421960,8.56925
42815107,42816214,27.4436
42433743,595703242,7.27634
2689614147,2089937977,9.11742
42814259,42842371,14.0847
42520740,42504256,13.821
593921875,42430677,21.8779
42453011,595105531,7.30744
593921860,42430691,25.3857
593921856,42430685,31.2971
42449833,596776497,19.6949
42421800,42424851,36.026
42521121,42491616,28.4841
42449833,596776442,4.80465
42767011,42733194,4.11085
42421877,42421882,57.3739
42866064,42807752,6.50024
42421865,42421857,16.6174
42421857,42421865,10.0573
277032734,42932829,57.806
42421852,42421857,11.1425
1946814074,248709626,18.785
42421820,42421810,68.1321
42421810,42421809,27.4599
42421809,42421806,44.7205
42435705,1815133244,24.3847
42421806,42421803,101.783
42421778,42422592,11.6938
42421778,42421776,43.2429
42521808,42466517,28.9189
42421775,42421772,120.614
42471130,42464570,22.6031
42421772,42421769,49.1071
42471136,42463651,5.30703
42421741,42421737,84.5971
42421737,42421741,67.5602
42421737,42421731,34.9354
103878596,103863438,2.69787
42421731,42421737,34.9354
42421731,42421728,14.3223
42421728,42421731,21.2713
42519812,42525712,17.1246
103878359,103869196,9.4762
276299310,2089938015,6.19516
370888100,370888101,9.11093
593920893,427804029,12.4568
42520393,42506177,10.2101
1775176474,42424098,137.819
2481865390,42440804,20.938
1834852948,248709733,45.088
103881940,1112485522,13.4143
358448394,42435635,82.908
60007353,295228005,1.4596
2481865390,42437580,29.5741
42469437,42508211,32.1602
42519809,42519202,5.29982
103877791,103879821,14.4941
1775270664,1919595924,23.2245
42520825,42486597,14.229
42470387,42477228,45.5
276299050,2089938080,17.9817
42520740,42488330,29.8261
42469614,42500046,6.20617
42469606,42500041,19.7956
42428212,449581627,22.6437
42470396,42474962,28.57
42520698,42488270,22.7526
42433173,595703198,11.0177
42519640,42520559,24.4512
588593611,246909454,12.7467
358448394,42427817,14.3484
42470439,42470437,67.8216
42434951,561042193,60.5675
589100267,42458017,71.8001
42912774,42912776,7.83478
42520764,42481968,19.4832
42470385,42470382,21.2232
42909195,2402842572,56.3919
588718770,486819535,32.745
42470382,42469633,55.4711
42911782,42941870,52.318
589100164,42458034,18.7663
589100164,42458017,26.0233
103238622,103237100,10.0541
42469118,42506366,30.5272
103877797,103868764,1.37023
593915303,247081122,62.1391
589100711,42439191,85.7169
100662030,277481765,32.0599
42520607,42482473,6.13326
100662028,277481542,60.5015
60925728,595473421,50.5217
42521125,42466266,34.0281
42436060,1104165608,181.972
486869939,486868138,23.366
42449005,596776260,18.6474
277482363,277482105,17.3581
589100711,42437826,5.51206
277482339,277482363,3.69403
42444960,1533280148,37.4703
42862706,42885428,7.94765
42520729,42476485,4.25869
589100232,42451018,8.23644
358447541,42444933,12.3817
279603573,276209340,11.3634
42833276,597443929,10.7901
42469898,42477282,21.3078
106089178,106089864,24.5941
276298577,2089938041,9.54886
380059967,42497720,30.1899
588175753,42796436,8.49786
103877626,103868269,9.4035
277482205,277482097,4.17881
42519230,42519232,4.46492
42519223,42519230,3.78756
42519202,42519809,2.92687
42912776,42900647,7.30301
2387504625,1696727885,68.5325
42519232,42517465,12.3234
42519207,42517910,14.2138
42449597,2821304136,16.1871
42520559,42475325,31.9447
277482107,277482066,2.71852
277482105,277482107,3.88648
277482097,277482339,18.2081
561042194,42449683,30.1524
61271527,1825732607,55.5409
561042193,42449683,37.984
42519250,42514188,2.60357
42469214,42492412,7.62093
42520686,42469492,14.2146
205026279,278609760,4.78486
561042188,42449308,20.385
42519258,42513498,63.4397
588593353,246899801,16.2981
42764835,42764839,8.42037
42764819,42764829,18.7645
42468747,42505383,6.94208
42764829,42763894,16.8685
561042204,42446959,49.0893
588593097,42433718,2.11897
561042197,42446949,40.4785
561042194,42446945,37.6758
561042193,42446941,53.8216
2141026551,42439878,14.3577
42861204,42920889,28.842
2141026540,42439891,14.1229
2141026538,42439860,23.3671
2141026538,42439858,8.3016
42519238,42511349,2.65047
276203987,276204366,11.2142
276203987,276204325,13.9036
561042197,42445653,29.2315
561042188,42445903,17.6217
42518976,42518972,34.9311
561042194,42445653,79.9891
2141026510,42439858,23.3739
42520415,42474121,7.96528
42861164,42920894,4.43526
2141026504,42439851,11.8578
471243875,42747190,8.71389
2141026501,42439861,8.83033
2141026498,42439851,12.5444
42519812,42492409,53.1093
2141026493,42439868,14.4193
371231343,371225085,35.9851
42469395,42482032,5.64588
42733678,595801192,11.5351
482655346,42884818,47.8539
561042204,42443804,28.9518
2141026544,42437211,14.3644
2141026538,42435802,115.217
42768534,2912071211,5.60416
2141026515,42436003,12.4542
1258945651,278632502,10.8675
2141026505,42435858,39.6634
371231224,371225132,7.69636
371239960,1369722086,7.80983
2141026493,42435810,82.7893
42430594,246580466,6.81054
42469640,42470387,42.8236
103877570,103855864,2.59067
42764839,42756130,10.9407
42518571,42526050,32.2727
42424098,371037281,84.6121
42912767,42888656,7.82089
42764849,42755148,10.5124
277481749,277481750,8.38625
2141026500,42433743,13.336
42469612,42469606,40.9487
42812173,42860206,9.9492
301546017,1293095295,71.6491
2141026510,42432905,92.7259
2141026504,42432900,80.1718
889585049,42427412,15.0404
42448338,596775951,10.5935
42448338,596775919,20.5352
2141026544,42431207,55.9903
42765242,42741098,21.3428
296933787,103857853,25.6793
42518710,42518716,376.868
